nu	ADV	nu
stades	NOUN	stade
des	ADP	de
,	PUNCT	,
les	DET	le
.	PUNCT	.
avis	NOUN	avis
,	PUNCT	,
.	PUNCT	.
football	NOUN	football
je	PRON	je
ne	ADV	ne
les	DET	le
,	PUNCT	,
gagne	ADJ	gagn
reportages	NOUN	reportage
le	DET	le
prendre	VERB	prendre
éteinte	ADJ	éteint
qu'	SCONJ	que
,	PUNCT	,
le	DET	le
mes	DET	mon
lumière	NOUN	lumière
apprit	VERB	apprendre
Plutôt	ADV	plutôt
.	PUNCT	.
le	DET	le
bras	NOUN	bras
vint	VERB	venir
jaune	NOUN	jaune
yeux	NOUN	oeil
,	PUNCT	,
de	ADP	de
visite	NOUN	visite
l'	DET	le
de	ADP	de
ami	NOUN	ami
me	PRON	me
.	PUNCT	.
parfois	ADV	parfois
Un	DET	un
les	DET	le
invitai	NOUN	invitai
à	ADP	à
je	PRON	je
à	ADP	à
il	PRON	il
serviette	NOUN	serviette
fermés	VERB	fermer
vers	ADP	vers
Paris	PROPN	Paris
8)	NOUN	8)
une	DET	un
parents	NOUN	parent
lavabo	NOUN	lavabo
rendre	VERB	rendre
pleuvait	VERB	pleuvoir
,	PUNCT	,
Il	PRON	il
.	PUNCT	.
Tendant	VERB	tendre
passage	NOUN	passage
,	PUNCT	,
m'	PRON	me
la	DET	le
.	PUNCT	.
m'	PRON	me
l'	DET	le
le	DET	le
avec	ADP	avec
des	DET	un
longuement	VERB	longuemer
,	PUNCT	,
Comme	SCONJ	comme
difficultés	NOUN	difficulté
se	PRON	se
il	PRON	il
me	PRON	me
pas	ADV	pas
il	PRON	il
.	PUNCT	.
de	ADP	de
,	PUNCT	,
il	PRON	il
activités	NOUN	activité
soin	NOUN	soin
cheveux	ADJ	cheveux
ce	PRON	ce
les	DET	le
était	AUX	être
les	DET	le
sale	ADJ	sale
professionnelles	ADJ	professionnel
,	PUNCT	,
ses	DET	son
Je	PRON	je
silence	NOUN	silence
que	SCONJ	que
Il	PRON	il
donna	VERB	donner
ne	ADV	ne
sécha	NOUN	sécha
expliquant	VERB	expliquer
,	PUNCT	,
nouvelles	ADJ	nouveau
qu'	PRON	qu'
s'	PRON	se
