—	PUNCT	—
Plus	ADV	plus
-il	PRON	il
me	PRON	me
Adriana	NOUN	adriana
reste	VERB	reste
!	PUNCT	!
étranglée	VERB	étrangler
voir	VERB	voir
d'	ADP	de
ne	ADV	ne
.	PUNCT	.
Tu	SCONJ	tu
,	PUNCT	,
se	PRON	se
veux	ADJ	veux
pas	ADV	pas
Je	PRON	je
Elle	PRON	lui
serra	VERB	serrer
été	AUX	être
encore	ADV	encore
éclats	NOUN	éclat
uniforme	NOUN	uniforme
Elle	PRON	lui
avait	AUX	avoir
grave	ADJ	grave
.	PUNCT	.
avait	AUX	avoir
volé	VERB	voler
de	ADP	de
en	ADP	en
sa	DET	son
Elle	PRON	lui
son	DET	son
le	DET	le
un	DET	un
maculé	VERB	maculer
que	SCONJ	que
Jack	PROPN	Jack
une	DET	un
bras	NOUN	bras
savait	VERB	savoir
contre	ADP	contre
sanglot	NOUN	sanglot
.	PUNCT	.
étouffa	VERB	étouffer
sang	NOUN	sang
blessée	VERB	blesser
fait	VERB	faire
poitrine	NOUN	poitrine
en	ADP	en
.	PUNCT	.
Elle	PRON	lui
avait	AUX	avoir
était	AUX	être
.	PUNCT	.
et	CCONJ	et
lorsque	SCONJ	lorsque
Celui	NOUN	celui
.	PUNCT	.
le	DET	le
pare-brise	NOUN	pare-brise
de	ADP	de
ses	DET	son
Elle	PRON	lui
erreur	NOUN	erreur
sien	NOUN	sien
.	PUNCT	.
que	SCONJ	que
inattention	NOUN	inattention
la	DET	le
maintenant	ADV	maintenant
compte	NOUN	compte
pensant	VERB	penser
d'	ADP	de
ses	DET	son
ne	ADV	ne
vie	NOUN	vie
.	PUNCT	.
tout	ADV	tout
,	PUNCT	,
.	PUNCT	.
d'	DET	d'
rendre	VERB	rendre
lui	PRON	lui
allaient	VERB	aller
mort	NOUN	mort
se	PRON	se
autant	ADV	autant
,	PUNCT	,
l'	DET	le
pas	ADV	pas
écouterait	NOUN	écouterait
également	ADV	également
payer	VERB	payer
autres	ADJ	autre
Jack	PROPN	Jack
lui	PRON	lui
femme	NOUN	femme
Il	PRON	il
Et	CCONJ	et
l'	PRON	l'
pouvait	VERB	pouvoir
Sa	DET	son
que	SCONJ	que
,	PUNCT	,
que	SCONJ	que
avait	AUX	avoir
affectait	VERB	affecter
Un	DET	un
coûté	VERB	coûter
la	DET	le
de	ADP	de
Raphaël	PROPN	Raphaël
instant	NOUN	instant
enfants	NOUN	enfant
.	PUNCT	.
lui	PRON	lui
,	PUNCT	,
tiré	VERB	tirer
Jack	PROPN	Jack
été	AUX	être
faute	NOUN	faute
Raphaël	PROPN	Raphaël
ont	AUX	avoir
père	NOUN	père
ce	PRON	ce
qu'	SCONJ	que
il	PRON	il
ai	AUX	avoir
Ecoute	NOUN	ecoute
Raphaël	PROPN	Raphaël
instructeur	ADJ	instructeur
ma	DET	mon
le	PRON	le
je	PRON	je
est	AUX	être
pas	ADV	pas
pas	ADV	pas
un	DET	un
...	PUNCT	...
est	AUX	être
—	PUNCT	—
tenais	VERB	tenir
à	ADP	à
,	PUNCT	,
.	PUNCT	.
...	PUNCT	...
à	ADP	à
,	PUNCT	,
a	AUX	avoir
Je	PRON	je
n'	ADV	n'
comme	ADP	comme
si	SCONJ	si
mon	DET	mon
pu	VERB	pouvoir
N'	ADV	n'
n'	ADV	n'
quand	SCONJ	quand
oublie	VERB	oublier
pas	ADV	pas
mort	NOUN	mort
elle	PRON	lui
ils	PRON	il
...	PUNCT	...
protéger	VERB	protéger
l'	DET	le
!	PUNCT	!
C'	PRON	ce
-t	PART	-t
que	SCONJ	que
!	PUNCT	!
-moi	PRON	moi
.	PUNCT	.
Une	DET	un
—	PUNCT	—
femmes	NOUN	femme
comme	ADP	comme
pas	ADV	pas
colère	ADJ	colèr
tête	NOUN	tête
d'	ADP	de
en	ADP	en
travailler	VERB	travailler
nous	PRON	nous
-il	PRON	il
t'	DET	t'
faite	VERB	faire
.	PUNCT	.
secoua	VERB	secouer
-	PUNCT	-
la	DET	le
...	PUNCT	...
Adriana	PROPN	Adriana
entre	ADP	entre
Tu	ADP	tu
est	VERB	être
brusquement	ADV	brusquement
.	PUNCT	.
toi	NOUN	toi
n'	ADV	n'
Va	VERB	aller
interrompit	NOUN	interrompit
répéta	ADJ	répéta
certains	PRON	certains
pour	ADP	pour
à	ADP	à
es	VERB	être
la	DET	le
cause	NOUN	cause
de	ADP	de
.	PUNCT	.
Raphaël	PROPN	Raphaël
police	NOUN	police
froide	NOUN	froide
dans	ADP	dans
paroles	ADJ	parole
à	ADP	à
jurais	VERB	jurer
Hier	ADV	hier
.	PUNCT	.
-elle	PRON	lui
commençait	VERB	commencer
me	PRON	me
-ce	PRON	-ce
de	ADP	de
compter	VERB	compter
sur	ADP	sur
serrais	VERB	serrer
?	PUNCT	?
—	PUNCT	—
n'	ADV	n'
-t	ADJ	-t
bras	NOUN	bras
que	ADV	que
soir	NOUN	soir
lança	VERB	lancer
dans	ADP	dans
est	AUX	être
envahir	NOUN	envahir
,	PUNCT	,
.	PUNCT	.
de	DET	de
belles	NOUN	beau
étaient	VERB	être
,	PUNCT	,
que	SCONJ	que
n'	ADV	n'
Espèce	PROPN	Espèce
toi	NOUN	toi
tu	SCONJ	tu
mufle	NOUN	mufle
,	PUNCT	,
.	PUNCT	.
Ce	PRON	ce
tes	ADJ	te
je	PRON	je
me	PRON	me
et	CCONJ	et
pourrais	VERB	pouvoir
toujours	ADV	toujours
encore	ADV	encore
l'	DET	le
tu	ADP	tu
pas	ADV	pas
,	PUNCT	,
,	PUNCT	,
n'	ADV	n'
.	PUNCT	.
mots	NOUN	mot
.	PUNCT	.
Sur	ADP	sur
Tu	ADP	tu
sol	NOUN	sol
le	DET	le
Raphaël	PROPN	Raphaël
pas	ADV	pas
la	DET	le
les	DET	le
.	PUNCT	.
lâche	NOUN	lâche
porte	VERB	porte
!	PUNCT	!
la	DET	le
entrée	NOUN	entrée
,	PUNCT	,
lâche	NOUN	lâche
clés	NOUN	clé
fut	AUX	être
qu'	SCONJ	que
